course_code,course_link,course_name,overall,prof_rating,difficulty,workload,professors,comments,tips
BIO-411,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/topics-in-life-sciences-engineering-BIO-411,Topics in life sciences engineering,3.2 (4),3.2,3.5,4 (4),"['Gönczy', 'McCabe', 'Naef']","[""The course is well presented and it's obvious the profs are making a lot of efforts. Presentation varies from one prof to another. The course is divided into 3 parts, the first 2 are well connected. The last one is a bit out there and requires a bit more work."", 'The lectures course lasts for 12 weeks. During the thirteenth week there is a review, and in the fourteenth week there is the exam. There are three professors, each responsible for a module that spans four lessons. The first two exercise sessions of each module consist of actual exercises, while the last two are dedicated to addressing questions about assignments. The third part of the course does not seem to have a strong connection with the first two.', 'The quality of the lecture depends a lot on the teacher. I took it the first year this class was created and it was a bit disorganised, but the teachers are open to feedback and this will probably improve in the next years', 'The course is compulsory, so not much to say. Do well on the last two assignments and you will be fine. The first one is way easier than the other two']","[""Just read the slides and show up to exercise discussion and that should be enough. Ask as many questions as you can and don't forget it is easy to link the topics in this class to other knowledge in previous biology classes. That should get you far enough"", 'Having never studied biology at the university level, I found this course extremely challenging. If you find yourself in a similar situation, I recommend reading the recommended book before the start of the course (not the entire book, just the section covering DNA, DNA replication, transcription, and translation, genetic). Complete the assignments thoroughly, as the written exam is not easy. The first assignment is the easiest, and it gets progressively more challenging. The exercise sessions can be helpful, but not all TAs are equally prepared.', ""If you already have some biology background the first 2 assignments are fairly easy. The last one is much more complicated. TAs are nice but only few know what they're talking about"", 'The exam is composed by six multiple choice questions (two from each professor) and three open questions. I guess that the exam is different every year, and this year (2023/2024) it was way harder than the mock exam (and from what I have heard it was also harder than last year). You do not have to do everything to get the maximum. The last part was the hardest']"
BIO-443,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/fundamentals-of-biophotonics-BIO-443,Fundamentals of biophotonics,3 (1),3.0,2.0,2 (3),['Radenovic'],"['interesting imaging techniques are explained, the workload is really light but spread across the semester']","['lectures are not always clear (in my opinion), do some research aside']"
BIO-447,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/stem-cells-and-organoids-BIO-447,Stem cells and organoids,2.5 (4),2.8,3.0,2.5 (3),"['Radtke', 'Suter']","['It is interesting, obligatory, so not much choice indeed, but it gives good basis on general stem cell biology. Some teachers try to tell a little but further why it could be useful, and give the more applied POV.', ""You don't really have a choice here, but it the subject interests you it's a good introduction to stem cells."", 'Mandatory. You learn a few interesting things but not much.', ""It was mandatory for us. The field of stem cells is interesting but quite precise and might not be useful for everyone. I wasn't always interested in the lectures but I was surprise to find myself talking about stem cells and organoids with other friends. Thus I would say that even if the lectures weren't always interesting to me, learning the concept of stem cells is quite interesting and added to my general culture""]","['You have to take it, it is compulsory, but if I should give an advicde : go to class, write down every word the teacher says, because the slides are not good at all and do not give the info you need for the exam. the exam is without notes and is a multiple choice, so you have to learn by heart every little detail. If you go to class and learn week after week it should not be too difficult, but it is really the old way : learn by heart, dot.', ""There used to be the zoom recordings from the COVID era but I don't know if and how you can access them. I have no idea if there are exercise sessions so I guess they don't bring much. The exam was full of small details which were either not on the slides, or hidden in the corner of a graph on slide 49/137."", 'Learn by heart. Some questions at the exam ask you ridiculous details but knowing the essential should be enough to pass.', 'Show up at the lecture and try to write what the teachers are saying, a lot of details are missing in the slide. For the exam you have to learn everything by heart and you can be asked questions about minuscule detail on a random slide.']"
BIO-449,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/understanding-statistics-and-experimental-design-BIO-449,Understanding statistics and experimental design,3.5 (2),3.5,1.5,1.5 (4),['Herzog'],"['If you have a basis in statistics, this is a go to class for easy 4 credits. If you do not have prior experience with statistics, it may be a bit more difficult', ""It introduces interesting concepts without demanding a heavy workload. It's more of a soft-skill course than hard-skills.""]","['Keep up a bit with the material, and learn the formulas by hard (for the exam)', 'The lectures are not useless because the teacher is interesting. Yet everything can be learned through the book and slides.']"
BIO-463,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/genomics-and-bioinformatics-BIO-463,Genomics and bioinformatics,2 (2),2.5,1.5,2.5 (4),['Rougemont'],"[""I'm really interested in genomics but did not like this class at all. The teacher is not engaging at all and the exercises are not made in a way that makes you learn much."", ""This course is mandatory and sadly it has a lot of issue in its actual form (2024). I didn't go to the lectures, so I can't really judge the teachers, but I can say that the slides were mostly understandable but not related really to the labs (so you just end up forgetting them).... My biggest issues concern the labs. Some labs (graded and not graded) are generally just soooooo unbalanced. You have some labs where everything is written and where you just have to complete one or two sentences (but you don't learn much). And other times you have very few explanations and actually without the help of the TA you can't really solve anything (and again you don't learn much). At least you see some important concepts of bioinformatics that are usefull but I didn't really learn much in this class.""]","['The class is really easy to pass. The quizzes are super easy and so is the project', 'The graded labs have the same issue as the ungraded ones. There are super unbalanced. They all weight the same grade but the workload and difficulty is super inconsistent. For the individual project, you have to reproduce the paper results. To be honest, I mostly only used my ADA knowledge and nothing from this course']"
BIO-467,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-literature-analysis-in-bioengineering-BIO-467,Scientific literature analysis in bioengineering,4 (1),4.0,2.0,3 (4),"['Cao', 'Merten', 'Tang']",['I would recommend this course! You do have to work a bit for this course but I feel like it is appropriate in comparison to other Literature Analysis courses. You have to do 3 group presentations and 1 individual presentation. The articles that the professors give to do presentations about are interesting and I felt like I learned something in this course.'],"['As long as you put an effort into your presentations, you are fine.']"
BIO-468,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-literature-analysis-in-computational-molecular-biology-BIO-468,Scientific literature analysis in computational molecular biology,3 (1),3.0,4.0,5 (4),"['Barth', 'Dal Peraro']","['It is a lot of work. By the time other courses had read 3 papers, we read 6. Still interesting, but very time consuming.']","['It is compulsory to go to classes. Every week 2 people have to do a presentation on a given paper, and the others have to write a report. During the lessons, after the presentation, students have to discuss about the paper.']"
BIO-471,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/cancer-biology-i-BIO-471,Cancer biology I,4 (1),4.0,3.0,3 (5),"['Lingner', 'Oricchio']","[""The course is very interesting. For the first part it's helpful to have done the oncology class of bachelor, but it's also okay if you didn't do it. For the exam, you need to study both the class and the papers done during the exercise sessions.""]",['Go to exercise sessions and prepare the papers before the session. Do not study all last minute because there is a lot of content.']
BIO-477,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/infection-biology-BIO-477,Infection biology,5 (3),4.7,2.3,3 (5),['Blokesch'],"[""All the professors teaching this class are so passionate and explain very well. There is a lot to learn, but its so clearly explained that it's OK. I would definitely recommend to take this class. Something I find worth noting is that although there are multiple professors, the organization of the class isn't messy and there is a clear goal to the class (looking at you neuroscience from molecular mechanisms to disease)"", 'I would recommend this course to others. I was unable to attend the classes throughout the semester, however managed to pass the class without problems.', 'super interesting topics ! It is a good overview of infection biology, going enough into details to learn new things. The exam asks super precise questions (really, sometimes useless) so learn small details too.']","['The exercices are SUPER useful. Learn them by heart because some questions in the exam are actually the same questions as in the exercices. Otherwise, just learn the content of the slides. There are excellent summaries for this class on the drive btw', 'There is a really good summary of the course available on the drive, with which I mainly studied. In addition, it is important to really know the exercises as many of the exam questions are identical (or very similar). You can take a one-sided A4 page written cheat sheet to the exam. Be sure to look at the papers (each week there is a paper discussed in journal club), as there is approximately one question for each paper at the exam.', 'go to the exercice sessions where each week a paper is discussed, it is interesting and important for the exam.']"
BIO-478,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/pharmacology-and-pharmacokinetics-BIO-478,Pharmacology and pharmacokinetics,4 (1),4.0,3.0,5 (2),"['Firsov', 'Kellenberger']","['I would recommend this course to others, as I feel like I did learn quite a few relevant things. However, the amount of work of this course does not correspond to 2 credits, as there is a lot of studying by heart that has to be done. I was unable to attend the course in person and it was not a problem to study the course using only the slides. The exam is fair.']","[""Take enough time to study everything by heart, and don't get too focused on the calculation exercises (there were more conceptual questions and only some calculation questions at the exam in our year).""]"
BIO-480,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-from-molecular-mechanisms-to-disease-BIO-480,Neuroscience: from molecular mechanisms to disease,3.8 (5),3.4,3.2,3.8 (5),"['Gräff', 'Lashuel', 'Schneider']","[""The class is very interesting but very messy. You just never know what you have to do/learn. The amount of stuff to know is just absurd and you'd think people teaching about neuroscience and memory would know that no human being can learn and retain more than a thousand slides of information."", ""suuper interesting course if you are want to learn about neurosciences from a more medical point of view. It is mainly focused around neurodegenerative diseases like Parkinson's, Alzheimer's and ALS, and gives an in depth understanding of the mechanisms involved."", 'the course itself is extremely interesting and the quality of the lectures is top-tier. however it is much stuff to learn by heart and I wouldnt recommend taking it if you think that biology/genetics is not your cup of tea.', 'Nice content if you are interested in neuroscience. Takes time since you need to learn everything but not hard.', ""The content of the course is very interesting, about Alzeihmer's disease, parkinson, motor neuron diseases etc. Not all the teachers are very clear, nor their slides...""]","[""The grindset is real on this one. Just learn things. All the things. There isn't even exercices so that you can assimilate better. Use your molecular mechanisms to retain the content of the class."", 'there is a loot of material which can seem quite overwhelming, however for the exam there is no need to remember all the details from the course. Some parts of the course are quite messy, it is important to filter out which information is actually important to remember - watching youtube videos about the subject can help with that. Look at the exam on the drive, the questions are very similar (or even the same).', 'ATTEND THE LECTURES and the exercises, start studying early in the semester', 'You have to learn everything by heart. Exam consists of open questions covering the essential of the lectures.', 'Background in neuroscience is strongly advised, at least in biology. The exam was not too hard, written questions about important parts of the course.']"
BIO-482,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-cellular-and-circuit-mechanisms-BIO-482,Neuroscience: cellular and circuit mechanisms,4.2 (4),4.2,2.5,2.8 (5),"['Crochet', 'Petersen']","['Very! It gives an overall explanatiom of what the electrical functioning of the brain is', 'Good quality content, gives all the basis for neuroscience circuitry.', 'This course gives us good basics in Neuroscience. For SV people, this course overlap a lot with the neuroscience course at the bachelor.', ""the peculiar thing of this course is that it's a MOOC, which comes with advantages (you can study on your own and the concepts are very straightforward) but also disadvantages (really easy to procrastinate and not very exciting) but should take this to have the basics of neuroscience.""]","['Just be sure to know a little about python for the final mini project.', ""Exam is not too hard, quite basic knowledge questions about the course. Doing the project alone isn't a bad choice. ."", 'Full learning by heart written exam. The project isn’t demanding too much. The project could be done in groups or alone', ""just study the written booc since it's the same words as the videos of the course, and find a group to do the project with so you won't work too much""]"
BIO-483,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-behavior-and-cognition-BIO-483,Neuroscience: behavior and cognition,2.5 (4),2.8,3.5,3.2 (5),"['Blanke', 'Herzog', 'Sandi Perez']","['Bof bof, the course is very interesting, but the exam is awful, you just need to store random informations into your brain and hope that you’ll be asked about it.', 'Messy organisation! Interesting topic but hard to understand the red line of the course.', 'If you like neuroscience I would say the topics are interesting but be prepared to learn a lot of things by heart, like a typical biology class.', ""I would not recommend this course to others. The slides of this course are very disorganised and hard to follow. Throughout the lectures the information given is very vague, which gives you the impression that you don't have to know a lot of detail, however the exam questions are very specific and ambiguous (especially the multiple choice part of Herzog). The year I took this course only Blanke and Herzog material was relevant for the exam.""]","['To given videos are different of the actual course, so you must go to the class', '1)Go to the lecture 2) Memorize all the lecture by heart 3) Pray for the exam', 'Try to learn a little bit everyday or do some little summaries to have less to learn by heart during the revision session', ""Use the exercise solutions to study, it is the only place where some concepts are explained in a rather comprehensible fashion (for Herzog's part). There is also a summary on the drive that is available, that will allow you to pass the course.""]"
BIO-493,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-project-design-in-integrative-neurosciences-BIO-493,Scientific project design in integrative neurosciences,1 (1),3.0,3.0,3 (4),['Petersen'],"[""One of the least interesting course I have had in my whole epfl carreer. I honestly didn't learn anything. However, if you want easy credits, take this course.""]","['Come in class for the project follow up, and go in the direction advised by the professor, and you will have a good grade.']"
BIO-512,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/digital-epidemiology-BIO-512,Digital epidemiology,4.3 (3),4.0,3.0,3.7 (4),['Salathé'],"['Very interesting course, with a lot of real life examples (thanks covid for once). The first part of the course is theorethical with an exam worth 40%, and the second part of the semester is a coding project, which can take a lot of time if you are involved or choose bad coworkers. But overall, very nice course.', ""The first half is theory with really interesting lectures in my opinion and small weekly graded assignments (they were quite easy but still, it can fall at the wrong time sometimes), ending with a rather easy midterm exam. The second half is a coding project with recurrent graded assessments with the teacher, and a final report. It was stimulating but the sad thing was that eventually groups ended up doing similar things because of the teacher's views on our projects (basically you got a better grade if you had a LLM-based feature) The teacher knows a lot about the subject but can be quite rigid in my opinion (he doesn't like students using laptops or phones during classes and wanted to grade attendance before someone reminded him of EPFL's rules)"", 'Very interesting course, not very hard to understand but still good take home messages. The first seven weeks you have assignments to do and it is a bit time consuming if you want to do them correctly (not mandatory, you just have to not forget to hand them in). The MCQ exam is quite easy if you have been to class.']","['Have some programming knowledge to not struggle during the project.', ""it will be easier if you work regularly (and you don't have much of a choice because of the continuous assessment)"", 'You should go to the class because the slides are a bit empty, do not stress about the project, it is actually quite easy to do something !']"
BIOENG-320,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/synthetic-biology-BIOENG-320,Synthetic biology,3 (1),3.0,2.0,2 (4),"['Aye', 'Barth', 'Hatzimanikatis']","['No, not much learned during the course. Pretty disorganised. But interesting for students with bio background']",['Book (some questions are taken from the book which has the answers)']
BIOENG-399,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunoengineering-BIOENG-399,Immunoengineering,4 (5),4.2,2.2,1.8 (4),['Tang'],"['Yes. The class is very interesting, but can be a bit repetitive especially if you’ve already studied immunology. The 2 main topics are cancer and vaccines', 'Course starts off intimidating because a lot of immunology knowledge is assumed, but the exam is relatively accessible for material scientists as well.', 'Topics are interesting at least, but the tone og the professor is realy monotone and soporific', 'The topics discussed are very interesting and the class is research-focused meaning that most of what is discussed is very cutting edge.', 'Interesting focus on drug delivery. Basic knowledge in immunology is mandatory. The workload is ok.']","['The slides have all the info so you don’t necessarily have to go to the class. The exam is not very hard if you study and for the essay you can choose any topic of your interest in the immunoengineering field', ""The slides are a bit vague sometimes so I'd recommend going to class to get some notes."", 'No exercise, just a report and a small end-of-session exam but really ok', 'Don’t wait until the last moment to write the scientific essay (30%) and there are quite a few things to learn by heart for the exam but the exam itself isn’t hard and it’s pretty short.', 'Do not wait until the last week to write your essay.']"
BIOENG-404,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/analysis-and-modelling-of-locomotion-BIOENG-404,Analysis and modelling of locomotion,4 (1),5.0,3.0,4 (4),"['Aminian', 'Courtine', 'Ijspeert']","['Yes, the first project is demanding, but you can do it !']","['No need to go to the lectures, you better sleep.']"
BIOENG-430,https://edu.epfl.ch/studyplan/en/master/chemical-engineering-and-biotechnology/coursebook/selected-topics-in-life-sciences-BIOENG-430,Selected topics in life sciences,5 (2),4.5,2.5,3 (3),['Lashuel'],"['In my eyes the course is very interesting and has excellent guest speakers. If you prepare your weekly assignments and your semester project, you will receive a good grade.', ""Definitely worth checking out, especially if you're eyeing a PhD and have a CS background. It's not too tough and really opens up your eyes to the latest stuff happening across different fields and how they mix with CS.""]","['Visiting the lectures is mandatory but worth it. Start early with your semester assignemnt and you will have most of the work done before the semester ends.', 'Pretty manageable. Weekly assignments that are straightforward after the lectures, one simple Q&A prep, and two presentations that needs some research']"
BIOENG-444,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/advanced-bioengineering-methods-laboratory-BIOENG-444,Advanced bioengineering methods laboratory,4 (1),3.0,3.0,4 (4),"['Fantner', 'Guiducci', 'Radenovic']",['Interesting course to get a hands-on approach to some laboratory techniques. You can see three different methods spread in various labs. Some labs have better assistants and prof than others... The workload is low at the beginning and then heavy at the end when you have to write the paper/report.'],"['After testing the three different techniques, you have to choose the one you preferred. Then run some experiments and write a paper about it. It is a good exercise, but it can take a lot of time, so choose the assistant and technique wisely.']"
